reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(tremblementTerre | non_cambriolage non_alarme jeanAppelle marieAppelle ) = 0.000710916,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 1
reassign(cambriolage | tremblementTerre alarme jeanAppelle marieAppelle ) = 0.00652204,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 1
reassign(alarme | non_cambriolage tremblementTerre jeanAppelle marieAppelle ) = 0.998061,    reassign to 1
reassign(alarme | non_cambriolage tremblementTerre jeanAppelle marieAppelle ) = 0.998061,    reassign to 1
reassign(cambriolage | tremblementTerre alarme jeanAppelle marieAppelle ) = 0.00652204,    reassign to 0
reassign(cambriolage | tremblementTerre alarme jeanAppelle marieAppelle ) = 0.00652204,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(tremblementTerre | non_cambriolage alarme jeanAppelle marieAppelle ) = 0.224981,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 0
reassign(cambriolage | non_tremblementTerre non_alarme jeanAppelle marieAppelle ) = 0.000120346,    reassign to 0
reassign(alarme | non_cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.557769,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(tremblementTerre | cambriolage alarme jeanAppelle marieAppelle ) = 0.00101063,    reassign to 0
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(alarme | cambriolage non_tremblementTerre jeanAppelle marieAppelle ) = 0.999949,    reassign to 1
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 0
reassign(cambriolage | non_tremblementTerre alarme jeanAppelle marieAppelle ) = 0.653231,    reassign to 1
inferenceGibbs: 641 µs
valGibbs = 0.57
inferenceApproche: 989.882 ms
valApproche = 0.4626

